Column1,id,title,context,question,answers,modified_question (GPT 3.5 Turbo),modified_question
220,5.23E+11,الثورة الفرنسية,"الثورة الفرنسية (بالفرنسية: Révolution française) هي فترة مؤثرة من الاضطرابات الاجتماعية والسياسية في فرنسا عرفت عدة مراحل استمرت من 1789 حتى 1799، وكانت لها تأثيرات عميقة على أوروبا والعالم الغربي عموما، انتهت بسيطرة البورجوازية خلال التحالف مع نابليون وانتهت بتصدير الأزمة من خلال الاستعمار بالتوسع اللاحق للإمبراطورية الفرنسية، انتهت بسيطرة البورجوازية التي كانت متحالفة مع طبقة العمال مع إحقاق مجموعة من الحقوق والحريات للطبقة العاملة والمتوسطة للشعب الفرنسي. أسقطت الملكية وأسست الجمهورية وشهدت فترات عنيفة من الاضطراب السياسي، وتوجت أخيرا في دكتاتورية نابليون الذي جاء سريعا بكثير من مبادئها إلى أوروبا الغربية وخارجها. استوحت الثورة الفرنسية أفكارا ليبرالية وراديكالية،غيرت بشكل عميق مسار التاريخ الحديث، وأطلقت الانحدار العالمي للملكيات المطلق واستبدالها بالجمهوريات. أطلقت الثورة من خلال حروب الثورة الفرنسية صراعات عالمية مسلحة امتدت من البحر الكاريبي إلى الشرق الأوسط. المؤرخين على نطاق واسع يعتبرون الثورة الفرنسية واحدة من أهم الأحداث في تاريخ البشرية.",ماذا حقق التحالف بين البورجوازيه و طبيق العمال؟,"{'text': array(['إحقاق مجموعة من الحقوق والحريات للطبقة العاملة والمتوسطة للشعب الفرنسي.'],
      dtype=object), 'answer_start': array([392], dtype=int32)}",ماذا حقق التحالف بين البورجوازيه و الطبقه العامله؟,ماذا حقق التحالف بين البورجوازيه و الطبقه العامله؟
221,1.11E+11,الثورة الفرنسية,"الثورة الفرنسية (بالفرنسية: Révolution française) هي فترة مؤثرة من الاضطرابات الاجتماعية والسياسية في فرنسا عرفت عدة مراحل استمرت من 1789 حتى 1799، وكانت لها تأثيرات عميقة على أوروبا والعالم الغربي عموما، انتهت بسيطرة البورجوازية خلال التحالف مع نابليون وانتهت بتصدير الأزمة من خلال الاستعمار بالتوسع اللاحق للإمبراطورية الفرنسية، انتهت بسيطرة البورجوازية التي كانت متحالفة مع طبقة العمال مع إحقاق مجموعة من الحقوق والحريات للطبقة العاملة والمتوسطة للشعب الفرنسي. أسقطت الملكية وأسست الجمهورية وشهدت فترات عنيفة من الاضطراب السياسي، وتوجت أخيرا في دكتاتورية نابليون الذي جاء سريعا بكثير من مبادئها إلى أوروبا الغربية وخارجها. استوحت الثورة الفرنسية أفكارا ليبرالية وراديكالية،غيرت بشكل عميق مسار التاريخ الحديث، وأطلقت الانحدار العالمي للملكيات المطلق واستبدالها بالجمهوريات. أطلقت الثورة من خلال حروب الثورة الفرنسية صراعات عالمية مسلحة امتدت من البحر الكاريبي إلى الشرق الأوسط. المؤرخين على نطاق واسع يعتبرون الثورة الفرنسية واحدة من أهم الأحداث في تاريخ البشرية.",ما هي التغيرات التي سببتها الثوره الفرنسيه عندما استوحت افكار ليبراليه وراديكاليه؟,"{'text': array(['بشكل عميق مسار التاريخ الحديث، وأطلقت الانحدار العالمي للملكيات المطلق واستبدالها بالجمهوريات.'],
      dtype=object), 'answer_start': array([681], dtype=int32)}",ما هي التغيرات التي سببتها الثوره الفرنسيه عندما استوحت افكار ليبراليه وراديكاليه؟,ما هي التغيرات التي سببتها الثوره الفرنسيه عندما استوحت افكار ليبراليه وراديكاليه؟
222,5.56E+11,الثورة الفرنسية,"أسباب الثورة الفرنسية معقدة ومازالت محل جدل بين المؤرخين. بعد حرب السنوات السبع وحرب الاستقلال الأمريكية، كانت الحكومة الفرنسية غارقة في الديون وحاولت استعادة وضعها المالي من خلال خطط ضرائب لم تحظى بشعبية بين العامة. أيضاً سنوات من القحط سبقت الثورة أثارت استياء شعبي على الامتيازات التي يتمتع بها رجال الدين والطبقة الأرستقراطية. صيغت مطالب التغيير من خلال أفكار تنويرية وساهمت في انعقاد مؤتمر الجمعية العامة في مايو 1789 السنة الأولى من الثورة رأت سيطرة الجمعية العامة واقتحام سجن الباستيل في يوليو وإمرار إعلان حقوق الإنسان والمواطن في أغسطس ومسيرة النساء إلى قصر فرساي التي أجبرت البلاط الملكي على الرجوع إلى باريس في أكتوبر. أهم حدث في المرحلة الأولى من الثورة حصل في أغسطس 1789 حيث ألغي نظام الإقطاع والقواعد والامتيازات القديمة التي خلفها حكم أترافي. خلال السنوات القليلة التالية ظهرت صراعات سياسية بين مختلف التجمعات الليبرالية وأنصار الجناح اليميني الموالي للنظام الملكي الذين حاولوا إحباط إصلاحات رئيسية. تم الإعلان عن قيام الجمهورية في سبتمبر 1792 بعد الانتصار الفرنسي في معركة فالمي. في حدث تاريخي أدى إلى إدانة دولية له، تم إعدام لويس السادس عشر في يناير 1793.",كيف حاولت الحكومه الفرنسيه استعادة وضعها المالي بعد حرب السنوات السبع؟,"{'text': array(['وحاولت استعادة وضعها المالي من خلال خطط ضرائب لم تحظى بشعبية بين العامة.'],
      dtype=object), 'answer_start': array([144], dtype=int32)}",كيف حاولت الحكومه الفرنسيه استعادة وضعها المالي بعد حرب السنوات السبع؟,كيف حاولت الحكومه الفرنسيه استعادة وضعها المالي بعد حرب السنوات السبع؟
223,8.7E+11,الثورة الفرنسية,"أسباب الثورة الفرنسية معقدة ومازالت محل جدل بين المؤرخين. بعد حرب السنوات السبع وحرب الاستقلال الأمريكية، كانت الحكومة الفرنسية غارقة في الديون وحاولت استعادة وضعها المالي من خلال خطط ضرائب لم تحظى بشعبية بين العامة. أيضاً سنوات من القحط سبقت الثورة أثارت استياء شعبي على الامتيازات التي يتمتع بها رجال الدين والطبقة الأرستقراطية. صيغت مطالب التغيير من خلال أفكار تنويرية وساهمت في انعقاد مؤتمر الجمعية العامة في مايو 1789 السنة الأولى من الثورة رأت سيطرة الجمعية العامة واقتحام سجن الباستيل في يوليو وإمرار إعلان حقوق الإنسان والمواطن في أغسطس ومسيرة النساء إلى قصر فرساي التي أجبرت البلاط الملكي على الرجوع إلى باريس في أكتوبر. أهم حدث في المرحلة الأولى من الثورة حصل في أغسطس 1789 حيث ألغي نظام الإقطاع والقواعد والامتيازات القديمة التي خلفها حكم أترافي. خلال السنوات القليلة التالية ظهرت صراعات سياسية بين مختلف التجمعات الليبرالية وأنصار الجناح اليميني الموالي للنظام الملكي الذين حاولوا إحباط إصلاحات رئيسية. تم الإعلان عن قيام الجمهورية في سبتمبر 1792 بعد الانتصار الفرنسي في معركة فالمي. في حدث تاريخي أدى إلى إدانة دولية له، تم إعدام لويس السادس عشر في يناير 1793.",متى عقد مؤتمر الجمعيه العامه,"{'text': array(['في مايو 1789'], dtype=object), 'answer_start': array([410], dtype=int32)}",متى عقد مؤتمر الجمعيه العامه؟,متى عقد مؤتمر الجمعيه العامه؟
224,5.51E+11,الثورة الفرنسية,"أسباب الثورة الفرنسية معقدة ومازالت محل جدل بين المؤرخين. بعد حرب السنوات السبع وحرب الاستقلال الأمريكية، كانت الحكومة الفرنسية غارقة في الديون وحاولت استعادة وضعها المالي من خلال خطط ضرائب لم تحظى بشعبية بين العامة. أيضاً سنوات من القحط سبقت الثورة أثارت استياء شعبي على الامتيازات التي يتمتع بها رجال الدين والطبقة الأرستقراطية. صيغت مطالب التغيير من خلال أفكار تنويرية وساهمت في انعقاد مؤتمر الجمعية العامة في مايو 1789 السنة الأولى من الثورة رأت سيطرة الجمعية العامة واقتحام سجن الباستيل في يوليو وإمرار إعلان حقوق الإنسان والمواطن في أغسطس ومسيرة النساء إلى قصر فرساي التي أجبرت البلاط الملكي على الرجوع إلى باريس في أكتوبر. أهم حدث في المرحلة الأولى من الثورة حصل في أغسطس 1789 حيث ألغي نظام الإقطاع والقواعد والامتيازات القديمة التي خلفها حكم أترافي. خلال السنوات القليلة التالية ظهرت صراعات سياسية بين مختلف التجمعات الليبرالية وأنصار الجناح اليميني الموالي للنظام الملكي الذين حاولوا إحباط إصلاحات رئيسية. تم الإعلان عن قيام الجمهورية في سبتمبر 1792 بعد الانتصار الفرنسي في معركة فالمي. في حدث تاريخي أدى إلى إدانة دولية له، تم إعدام لويس السادس عشر في يناير 1793.",ما هو اهم حدث خلال المرحله الولى من الثوره,"{'text': array(['ألغي نظام الإقطاع والقواعد والامتيازات القديمة التي خلفها حكم أترافي.'],
      dtype=object), 'answer_start': array([688], dtype=int32)}",ما هو الحدث الأهم خلال المرحلة الأولى من الثورة؟,ما هو الحدث الأهم خلال المرحلة الأولى من الثورة؟
225,7.26E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة.",ما هو اول ظهور فني للممثل أحمد عز؟,"{'text': array(['مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز'], dtype=object), 'answer_start': array([50], dtype=int32)}",متى تم تأسيس الدولة الإسلامية؟,ما هو اول ظهور فني للممثل أحمد عز؟
226,5.03E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة.",من هي المخرجه التي اتاحت الفرصه الكبرى للممثل أحمد عز للقيام بلبطوله؟,"{'text': array(['إيناس الدغيدي التي أتاحت له الفرصة'], dtype=object), 'answer_start': array([151], dtype=int32)}",من هي المخرجة التي أتاحت الفرصة الكبرى للممثل أحمد عز للقيام بالبطولة؟,من هي المخرجة التي أتاحت الفرصة الكبرى للممثل أحمد عز للقيام بالبطولة؟
227,5.59E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة.",في اي فيلم ظهر فيه الفنان احمد عز بمشهد صغير في بدايت مشواره الفني؟,"{'text': array(['فيلم فيلم كلام الليل'], dtype=object), 'answer_start': array([122], dtype=int32)}",في أي فيلم ظهر فيه الفنان أحمد عز بمشهد صغير في بداية مشواره الفني؟,في أي فيلم ظهر فيه الفنان أحمد عز بمشهد صغير في بداية مشواره الفني؟
228,6.52E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة. في 2004l لفت الأنظار إليه عندما لعب دور البطولة أمام الفنانة يسرا في مسلسل ملك روحي وبعده فيلمي حب البنات وسنة أولى نصب. ابتعد بعد ذلك عن الأدوار الرومانسية واتّجه لأفلام الحركة والإثارة والتشويق.",ما هو اول فيلم بطوله للفنان أحمد عز؟,"{'text': array(['فيلم مذكرات مراهقة.'], dtype=object), 'answer_start': array([208], dtype=int32)}",ما هو أول فيلم قام ببطولته الفنان أحمد عز؟,ما هو اول فيلم بطوله للفنان أحمد عز؟
229,8.99E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة. في 2004l لفت الأنظار إليه عندما لعب دور البطولة أمام الفنانة يسرا في مسلسل ملك روحي وبعده فيلمي حب البنات وسنة أولى نصب. ابتعد بعد ذلك عن الأدوار الرومانسية واتّجه لأفلام الحركة والإثارة والتشويق.",من هي الفنانه التي قام أحمد عز بدور البطوله امامها في عام 2004؟,"{'text': array(['لعب دور البطولة أمام الفنانة يسرا'], dtype=object), 'answer_start': array([260], dtype=int32)}",من هي الفنانة التي قام أحمد عز بدور البطولة أمامها في عام 2004؟,من هي الفنانة التي قام أحمد عز بدور البطولة أمامها في عام 2004؟
230,8.38E+11,أحمد عز (ممثل),"أحمد عز (23 يوليو 1971 -) ممثل مصري. ظهر لأول مرة مع المغنية أصالة في كليب ""لما جت عينك في عيني""ز ظهر أيضاً بمشهد صغير في فيلم فيلم كلام الليل للمخرجة إيناس الدغيدي التي أتاحت له الفرصة فيما بعد للقيام بطولة فيلم مذكرات مراهقة. في 2004l لفت الأنظار إليه عندما لعب دور البطولة أمام الفنانة يسرا في مسلسل ملك روحي وبعده فيلمي حب البنات وسنة أولى نصب. ابتعد بعد ذلك عن الأدوار الرومانسية واتّجه لأفلام الحركة والإثارة والتشويق.",ما نوع الأدوار التي يقوم بتمثيلها الفنان أحمد عز حاليا ؟,"{'text': array(['واتّجه لأفلام الحركة والإثارة والتشويق.'], dtype=object), 'answer_start': array([385], dtype=int32)}",ما نوع الأدوار التي يقوم الفنان أحمد عز بتمثيلها حاليا؟,ما نوع الأدوار التي يقوم الفنان أحمد عز بتمثيلها حاليا؟
231,6.1E+11,أحمد عز (ممثل),"كان يحلم بالتمثيل من أيام المدرسة وبعدها الجامعة وكان يتابع الوسط الفني من بعيد، لكّنه لم يفكّر في دراسة التمثيل لأن الإنتاج السينمائي وقتها كان محدوداً جداً وخشي من عدم وجود فرصة بعد ذلك للعمل، فدرس الأدب الإنجليزي في كلية الآداب جامعة عين شمس، وبعد تخرّجه عمل في مجال الفنادق.",لماّذا لم يدرس الفنان أحمد عز التمثيل؟,"{'text': array(['الإنتاج السينمائي وقتها كان محدوداً جداً وخشي من عدم وجود فرصة بعد ذلك للعمل،'],
      dtype=object), 'answer_start': array([117], dtype=int32)}",لماذا لم يدرس الفنان أحمد عز التمثيل؟,لماذا لم يدرس الفنان أحمد عز التمثيل؟
232,2.97E+11,أحمد عز (ممثل),"كان يحلم بالتمثيل من أيام المدرسة وبعدها الجامعة وكان يتابع الوسط الفني من بعيد، لكّنه لم يفكّر في دراسة التمثيل لأن الإنتاج السينمائي وقتها كان محدوداً جداً وخشي من عدم وجود فرصة بعد ذلك للعمل، فدرس الأدب الإنجليزي في كلية الآداب جامعة عين شمس، وبعد تخرّجه عمل في مجال الفنادق.",ماذا درس الفنان أحمد عز؟ وأين؟,"{'text': array(['فدرس الأدب الإنجليزي في كلية الآداب جامعة عين شمس،'], dtype=object), 'answer_start': array([195], dtype=int32)}",ماذا درس الفنان أحمد عز؟ وأين؟,ماذا درس الفنان أحمد عز؟ وأين؟
233,1.33E+11,أحمد عز (ممثل),"كان يحلم بالتمثيل من أيام المدرسة وبعدها الجامعة وكان يتابع الوسط الفني من بعيد، لكّنه لم يفكّر في دراسة التمثيل لأن الإنتاج السينمائي وقتها كان محدوداً جداً وخشي من عدم وجود فرصة بعد ذلك للعمل، فدرس الأدب الإنجليزي في كلية الآداب جامعة عين شمس، وبعد تخرّجه عمل في مجال الفنادق.",ما هو المجال الذي عمل فيه أحمد عز بعد تخرجه من الجامعه؟,"{'text': array(['وبعد تخرّجه عمل في مجال الفنادق.'], dtype=object), 'answer_start': array([246], dtype=int32)}",ما هو المجال الذي عمل فيه أحمد عز بعد تخرجه من الجامعة؟,ما هو المجال الذي عمل فيه أحمد عز بعد تخرجه من الجامعة؟
234,73557521029,رونالدو,"رونالدو لويس نازاريو دي ليما (بالبرتغالية: Ronaldo Luís Nazário de Lima‏)، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل.",ما هو الاسم الكامل للاعب كرة القدم رونالدو؟,"{'text': array(['رونالدو لويس نازاريو دي ليما'], dtype=object), 'answer_start': array([0], dtype=int32)}",ما هو الاسم الكامل للاعب كرة القدم رونالدو؟,ما هو الاسم الكامل للاعب كرة القدم رونالدو؟
235,6.9E+11,رونالدو,"رونالدو لويس نازاريو دي ليما (بالبرتغالية: Ronaldo Luís Nazário de Lima‏)، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل.",ما هو القب الهعروف للاعب كرة القدم رونالدو؟,"{'text': array(['ويُعرف أيضاً بلقبه ""الظاهرة""'], dtype=object), 'answer_start': array([103], dtype=int32)}",ما هو اللقب المعروف للاعب كرة القدم رونالدو؟,ما هو اللقب المعروف للاعب كرة القدم رونالدو؟
236,4.07E+11,رونالدو,"رونالدو لويس نازاريو دي ليما (بالبرتغالية: Ronaldo Luís Nazário de Lima‏)، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل.",متى اعتزل اللاعب رونالدو لعب كرة القدم؟,"{'text': array(['في فبراير عام 2011،'], dtype=object), 'answer_start': array([181], dtype=int32)}",متى اعتزل لاعب كرة القدم رونالدو؟,متى اعتزل اللاعب رونالدو لعب كرة القدم؟
237,9.97E+11,رونالدو,"رونالدو لويس نازاريو دي ليما ، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل. ويُعتبر أفضل مهاجمي كرة القدم عبر التاريخ حسب الكثيرين، كما يُصنّف أنه أحد أفضل من لعب كرة القدم على الإطلاق، ويتميّزُ بالسرعة والمهارة العالية وبالبراعة في الإنهاء أمام المرمى، وقد فاز بجائزة الفيفا لأفضل لاعب في العالم وهو بسنّ العشرين عاماً عام 1996، كأصغر من حقّقها، كما ظفر بها في مناسبتيْن أخريين عاميْ 1997 و2002. وهو كذلك أصغر من حقّق جائزة الكرة الذهبية وكان ذلك عام 1997، كما ظفر بها في مناسبة أخرى عام 2002.",ما هو تاريخ ميلاد لاعب كرة القدم رونالدو؟,"{'text': array(['وُلد يوم 22 سبتمبر عام 1976'], dtype=object), 'answer_start': array([157], dtype=int32)}",ما هو تاريخ ميلاد لاعب كرة القدم رونالدو؟,ما هو تاريخ ميلاد لاعب كرة القدم رونالدو؟
238,8.24E+11,رونالدو,"رونالدو لويس نازاريو دي ليما ، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل. ويُعتبر أفضل مهاجمي كرة القدم عبر التاريخ حسب الكثيرين، كما يُصنّف أنه أحد أفضل من لعب كرة القدم على الإطلاق، ويتميّزُ بالسرعة والمهارة العالية وبالبراعة في الإنهاء أمام المرمى، وقد فاز بجائزة الفيفا لأفضل لاعب في العالم وهو بسنّ العشرين عاماً عام 1996، كأصغر من حقّقها، كما ظفر بها في مناسبتيْن أخريين عاميْ 1997 و2002. وهو كذلك أصغر من حقّق جائزة الكرة الذهبية وكان ذلك عام 1997، كما ظفر بها في مناسبة أخرى عام 2002.",بماذا يتميز اللاعب رونالدو عن غيره من اللاعبين ؟,"{'text': array(['ويتميّزُ بالسرعة والمهارة العالية وبالبراعة في الإنهاء أمام المرمى،'],
      dtype=object), 'answer_start': array([337], dtype=int32)}",ما السمة المميزة للاعب رونالدو؟,بماذا يتميز اللاعب رونالدو عن غيره من اللاعبين ؟
239,5.37E+11,رونالدو,"رونالدو لويس نازاريو دي ليما ، المعروف اختصاراً بـرونالدو، ويُعرف أيضاً بلقبه ""الظاهرة"" هو لاعب كرة قدم برازيلي سابق اعتزل لعب كرة القدم في فبراير عام 2011، وُلد يوم 22 سبتمبر عام 1976 في مدينة ريو دي جانيرو في موطنه البرازيل. ويُعتبر أفضل مهاجمي كرة القدم عبر التاريخ حسب الكثيرين، كما يُصنّف أنه أحد أفضل من لعب كرة القدم على الإطلاق، ويتميّزُ بالسرعة والمهارة العالية وبالبراعة في الإنهاء أمام المرمى، وقد فاز بجائزة الفيفا لأفضل لاعب في العالم وهو بسنّ العشرين عاماً عام 1996، كأصغر من حقّقها، كما ظفر بها في مناسبتيْن أخريين عاميْ 1997 و2002. وهو كذلك أصغر من حقّق جائزة الكرة الذهبية وكان ذلك عام 1997، كما ظفر بها في مناسبة أخرى عام 2002.",كم كان عمر اللاعب رونالدو عند فوزه بجائزه الفيفا لكونه افضل لاعب لأول مره؟,"{'text': array(['فاز بجائزة الفيفا لأفضل لاعب في العالم وهو بسنّ العشرين عاماً عام 1996،'],
      dtype=object), 'answer_start': array([409], dtype=int32)}",كم كان عمر اللاعب رونالدو عند فوزه بجائزه الفيفا لكونه افضل لاعب لأول مره؟,كم كان عمر اللاعب رونالدو عند فوزه بجائزه الفيفا لكونه افضل لاعب لأول مره؟
240,1.54E+11,رونالدو,"بدأ رونالدو مسيرته الكروية من بوابة نادي كروزيرو في البرازيل عام 1993 الذي لعب له لموسمين، انتقل بعدها إلى القارة الأوروبية؛ أين لعب مُعظم مسيرته الكروية بين عامي 1994 و2008 تنقّل خلالها بين كبريات الدوريات والأندية في القارة، بداية من نادي أيندهوفن الهولندي في الفترة ما بين 1994–1996 ثم في الدوري الإسباني في فترتين مُتفرقتين لعب خلالهما لقُطبي إسبانيا برشلونة بين عامي 1996–1997 وريال مدريد بين عامي 2002–2007 مروراً بفترتين متفرقتين أيضا مع قُطبي مدينة ميلان الإيطالية، بدءً من الإنتر بين 1997–2002، ثمّ إيه سي ميلان الذي لعب له بين عامي 2007 و2008، حينما قرّر الرجوع لبلاده البرازيل من بوابة نادي كورينثيانز الذي قضى معه آخر سنتين في مسيرته الكروية.",ما هو اول نادي لكرة القدم لعب فيه اللاعب رونالدو؟,"{'text': array(['نادي كروزيرو في البرازيل عام 1993'], dtype=object), 'answer_start': array([36], dtype=int32)}",ما هو اول نادي لكرة القدم الذي لعب فيه اللاعب رونالدو؟,ما هو اول نادي لكرة القدم لعب فيه اللاعب رونالدو؟
241,4.77E+11,رونالدو,"بدأ رونالدو مسيرته الكروية من بوابة نادي كروزيرو في البرازيل عام 1993 الذي لعب له لموسمين، انتقل بعدها إلى القارة الأوروبية؛ أين لعب مُعظم مسيرته الكروية بين عامي 1994 و2008 تنقّل خلالها بين كبريات الدوريات والأندية في القارة، بداية من نادي أيندهوفن الهولندي في الفترة ما بين 1994–1996 ثم في الدوري الإسباني في فترتين مُتفرقتين لعب خلالهما لقُطبي إسبانيا برشلونة بين عامي 1996–1997 وريال مدريد بين عامي 2002–2007 مروراً بفترتين متفرقتين أيضا مع قُطبي مدينة ميلان الإيطالية، بدءً من الإنتر بين 1997–2002، ثمّ إيه سي ميلان الذي لعب له بين عامي 2007 و2008، حينما قرّر الرجوع لبلاده البرازيل من بوابة نادي كورينثيانز الذي قضى معه آخر سنتين في مسيرته الكروية.",في اي عام انتقل اللاعب رونالدو الى الدوري الاسباني؟,"{'text': array(['لقُطبي إسبانيا برشلونة بين عامي 1996–1997 وريال مدريد بين عامي 2002–2007'],
      dtype=object), 'answer_start': array([340], dtype=int32)}",في أي عام انتقل اللاعب رونالدو إلى نادي ريال مدريد في الدوري الإسباني؟,في اي عام انتقل اللاعب رونالدو الى الدوري الاسباني؟
242,6.01E+11,رونالدو,"بدأ رونالدو مسيرته الكروية من بوابة نادي كروزيرو في البرازيل عام 1993 الذي لعب له لموسمين، انتقل بعدها إلى القارة الأوروبية؛ أين لعب مُعظم مسيرته الكروية بين عامي 1994 و2008 تنقّل خلالها بين كبريات الدوريات والأندية في القارة، بداية من نادي أيندهوفن الهولندي في الفترة ما بين 1994–1996 ثم في الدوري الإسباني في فترتين مُتفرقتين لعب خلالهما لقُطبي إسبانيا برشلونة بين عامي 1996–1997 وريال مدريد بين عامي 2002–2007 مروراً بفترتين متفرقتين أيضا مع قُطبي مدينة ميلان الإيطالية، بدءً من الإنتر بين 1997–2002، ثمّ إيه سي ميلان الذي لعب له بين عامي 2007 و2008، حينما قرّر الرجوع لبلاده البرازيل من بوابة نادي كورينثيانز الذي قضى معه آخر سنتين في مسيرته الكروية.","قبل اعتزاله من العب, مع اي فريق قضى الاعب رونالدو اخر سنتين؟","{'text': array(['نادي كورينثيانز الذي قضى معه آخر سنتين في مسيرته الكروية.'],
      dtype=object), 'answer_start': array([597], dtype=int32)}","قبل اعتزاله من اللعب, مع أي فريق قضى اللاعب رونالدو السنتين الأخيرتين؟","قبل اعتزاله من العب, مع اي فريق قضى الاعب رونالدو اخر سنتين؟"
243,5.92E+11,الإعجاز العلمي في القرآن,الإعجاز العلمي في القرآن هو الاعتقاد بأن النص القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها العلم لاحقا؛ والبناء عليه بما يتسق مع إيمان المسلمين بأن القرآن معجزة ودليل على نبوة محمد بن عبد الله.,ما هو الاعجاز العلمي في القرأن؟,"{'text': array(['القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها'],
      dtype=object), 'answer_start': array([46], dtype=int32)}",ما هو الاعجاز العلمي في القرآن؟,ما هو الاعجاز العلمي في القرآن؟
244,9.09E+11,الإعجاز العلمي في القرآن,الإعجاز العلمي في القرآن هو الاعتقاد بأن النص القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها العلم لاحقا؛ والبناء عليه بما يتسق مع إيمان المسلمين بأن القرآن معجزة ودليل على نبوة محمد بن عبد الله.,لماذا يعتقد المسلمين أن القرأن معجزه؟,"{'text': array(['القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها'],
      dtype=object), 'answer_start': array([46], dtype=int32)}",لماذا يعتقد المسلمون أن القرآن معجزة علمية؟,لماذا يعتقد المسلمين أن القرأن معجزه؟
245,9.18E+11,الإعجاز العلمي في القرآن,الإعجاز العلمي في القرآن هو الاعتقاد بأن النص القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها العلم لاحقا؛ والبناء عليه بما يتسق مع إيمان المسلمين بأن القرآن معجزة ودليل على نبوة محمد بن عبد الله.,ما هو الدليل على نبوة محمد بن عبد الله حسب ايمان المسلمين؟,"{'text': array(['القرآني أخبر بحقائق كونية لم تكن مدركة للبشر في زمن ثبوت النص القرآني وأثبتها'],
      dtype=object), 'answer_start': array([46], dtype=int32)}",ما هو دليل نبوة محمد بن عبد الله حسب اعتقاد المسلمين؟,ما هو الدليل على نبوة محمد بن عبد الله حسب ايمان المسلمين؟
